id_centro_titular,centro_titular
202,C.ANDRES VELA-J.M. ZABALA DEL OJO-L.ANDRES VELA
203,RELIGIOSAS TEATINAS DE LA INMACULADA CONCEPCION
204,"CNS DE LA ESTRELLA, S.L.L."
205,MISIONEROS SAGRADOS CORAZONES
206,"COLEGIOS Y ACADEMIAS IPAVACHE, S.L."
207,CONGREGACION DE RELIGIOSAS AGUSTINAS MISIONERAS
208,"LOS LAPAZARES,S.L.UNIPERSONAL"
209,"SOCIEDAD EDUCATIVA REINADO, S.L. UNIPERSONAL"
210,"CENTRO CULTURAL SALMANTINO, S.L."
211,"COLEGIO SAN ALBERTO MAGNO, SOC.CCOP.LDA."
212,ASOCIACION PADRE/MADRES Y PROFESIONALES ¡SÍ PUEDO!
213,COIS-SIGLO XXI SDAD.COOP.MADRILEÑA DE ENSEÑANZA 
214,"NEBRIJA-ROSALES, SDAD. COOP. MADRILEÑA"
215,LICEO VERSALLES S.L.
216,HH. MARIA MADRE DE LA IGLESIA
217,PROFES.ASOCIADOS COL.STA.CRUZ SDAD.COOP.LDA.
218,"MARTIN MACIAS, S.A."
219,"SOCIEDAD DE ENSEÑANZA COLEGIO ÁGORA, S.L."
220,"AFUERA2, S.L. UNIPERSONAL"
221,GECE S.L.
222,"CENTRO CULTURAL PALOMERAS, SDAD. COOP. LDA."
223,COLEGIO NUESTRA SEÑORA DE LOS DOLORES S.L.
224,PADRES AGUSTINOS RECOLETOS
225,"CENTRO DE ESTUDIOS CASTILLA, SDAD. COOP. MADRILEÑA"
226,"COOP.DE ENSEÑANZA S.ANDRES Y STA.BARBARA,SDAD.COOP.MADRILEÑA"
227,HERMANOS DE LAS ESCUELAS CRISTIANAS
228,HNOS. MARISTAS
229,FUNDACION BENEFICO-DOCENTE CASA DE LA VIRGEN
230,"SAN JOSE-LUCERO, SDAD. COOP. MADRILEÑA"
231,FUNDACIÓN JAVERIANAS
232,O.N.C.E.
233,INSTITUTO SECULAR COOPERADORAS DE LA FAMILIA
234,"COSABER, SDAD. COOP. MADRILEÑA"
235,"CENTRO NUEVO DE PEDAGOGIA, S.L."
236,"FERNANDEZ ARENAS MIRASOL, S.L."
237,"FOMENTO DE CENTROS DE ENSEÑANZA, S.A."
238,ESENCO SOCIEDAD COOPERATIVA MADRILEÑA
239,INSTITUTO BIENAVENTURADA VIRGEN MARIA
240,"COLEGIO BUENAFUENTE DE EDUCACION ESPECIAL,S.L"
241,INSTITUCION SALESIANA
242,"COLEGIO NERVION, S.L."
243,CLERIGOS DE SAN VIATOR
244,FUNDACION JOSE MARIA DE LLANOS
245,"LA LEPIOTA, SDAD. COOP. MADRILEÑA"
246,"COOP. DE ENSEÑANZA JOSE RAMON OTERO, SDAD. COOP. MADRILEÑA"
247,FUNDACIÓN PROMIVA
248,J.L. DE ORIOL-CATALINA DE URQUIJO DE Mª AUXIL.Y S.JUAN BOSCO
249,HNAS. DE LA CARIDAD DEL SGDO. CORAZON DE JESUS
250,"GRUPO EDUCATIVO VILLA DE MOSTOLES, S.L."
251,"PROBAL XXI, S.L.L."
252,FUNDACION ARENALES
253,COLEGIO VILLAEUROPA SDAD.COOP.MADRILEÑA
254,"CENTRO DE ESTUDIOS SAN LUIS GONZAGA, S.L."
255,COLEGIO INTERNACIONAL EUROVILLAS S.L.
256,RELIGIOSAS TEATINAS DE LA INMACULADA CONCEPCIÓN
257,L.I.C.A.E.N.S.A.
258,"RETAMAR, S.A."
259,FUNDACION EDUCATIVA SAN JOSE DE CLUNY
260,FRANCISCANAS DE NTRA. SRA. DEL BUEN CONSEJO
261,FUNDACION GIL GAYARRE
262,ASOCIACION CIVIL INSTITUCION TERESIANA
263,FUNDACION BENEFICO-DOCENTE COLEGIO BERRIZ
264,MISIONERAS DE CRISTO SACERDOTE
265,MM.CONCEPCIONISTAS MISIONERAS DE LA ENSEÑANZA
266,PROVINCIA AGUSTINIANA MATRITENSE
267,LAURA ISABEL FERNANDEZ RODRIGUEZ
268,"SOC.SAN FRANCISCO DE SALES, CONGREGACION SALESIANA"
269,"COLEGIO SAN JUAN BOSCO, S.L."
270,MERCEDES CUMPLIDO SANCHEZ
271,"COLEGIO S. JUAN EVANGELISTA,SL-DIOCESIS DE ALCALA DE HENARES"
272,"COLEGIO JABY, S.L."
273,PARROQUIA DE SAN IGNACIO DE LOYOLA
274,CARITAS DIOCESANA DE GETAFE
275,COLEGIO SAMER CALASANZ S.L.
276,FUNDACION BENEFICO-DOCENTE SANTA ELENA
277,COLEGIO ALCALA S.L.
278,"INGLAN, S.A."
279,"SOCIEDAD EDUCATIVA ARGANZUELA, S.L."
280,HNAS. SALESIANAS DEL SAGRADO CORAZON DE JESUS
281,SDAD. COOP. MADRILEÑA LOS ANGELES
282,ASOC.PADRES Y AMIGOS NIÑOS DIFERENTES-APANID
283,"COLEGIO LUIS FEITO 19, S.L."
284,RELIGIOSAS REPARADORAS DEL SAGRADO CORAZON DE JESUS
285,ASOCIACIÓN DE PADRES DE PERSONAS CON AUTISMO
286,"COLEGIO PARQUE, S.L. UNIPERSONAL"
287,RELIGIOSAS SIERVAS DEL EVANGELIO
288,FUNDACION EDUCATIVA FRANCISCANAS DE LA INMACULADA
289,ENSEÑANZAS Y PROMOCION S.A.
290,"CENTRO ESPAÑOL DE TECNOLOGIA APLICADA, S.L."
291,ASOCIACION DE GESTION DOCENTE Y CULTURAL
292,"ACENIT,S.L."
293,CONGREGACION RR. HIJOS DE LA SAGRADA FAMILIA
294,"SAN JOAQUIN Y SANTA ANA, S.A."
295,"FUNDACIÓN CIUDADESCUELA MUCHACHOS ""CEMU"""
296,CONGREGACION DEL VERBO ENCARNADO
297,"TAO, SDAD. COOP. L.DE PEDAGOGIA TERAPEUTICA"
298,VALDECAS SOCIEDAD COOPERATIVA 
299,CENTRO DE ESTUDIOS PROFESIONALES S.L
300,FUNDACION HOSPITAL DE SAN SALVADOR
301,"COLEGIO ZURBARÁN, S.L."
302,"COLEGIO NUEVA CASTILLA, S.L."
303,FUNDACION GOTZE. INSTITUTO MEDICO PEDAGOGICO
304,"ANTONIO MACHADO DE PARLA, SDAD. COOP. MADRILEÑA DE ENSEÑANZA"
305,ASTOR-ASOCIAC.PADRES CON HIJOS DISCAPACIDAD INTELEC.TORREJON
306,MISIONERAS HIJAS SAGRADA FAMILIA DE NAZARET
307,"ENSEÑANTES DE VILLAVERDE, SDAD. COOP. MADRILEÑA"
308,"ASOCIACION EDUCATIVA, CALASANZ"
309,COMUNIDAD JUDIA DE MADRID
310,FUNDACIÓN FEDERICO FLIEDNER
311,"FUENTE LA REINA 82, SDAD. COOP. MADRILEÑA"
312,ASOCIACION JARDIN DE INFANCIA SAN VICENTE DE PAUL
313,"ENSEÑANZA Y FORMACION, SDAD. COOP. MADRILEÑA"
314,LORCA-SAN PABLO SDAD. COOP. MADRILEÑA
315,SDAD. COOP. MADRILEÑA DE ENSEÑANZA COLEGIO ESPIRITU SANTO
316,"EQUIPO DOCENTE VILLAVERDE, SOCIEDAD COOPERATIVA MADRILEÑA"
317,"PROSCIENCIA, SDAD. COOP. MADRILEÑA"
318,"N.I.L.E., SOCIEDAD COOPERATIVA MADRILEÑA"
319,ALTAMIRA DE FUENLABRADA SDAD.COOP. MADRILEÑA
320,"JUAN XXIII, S.A."
321,"NUEVO SANTA ROSA DE LIMA, S.L."
322,"PROSCIENCIA, SOCIEDAD COOPERATIVA MADRILEÑA"
323,"ZAZUAR,  SDAD. COOP. MADRILEÑA"
324,"COSSIO, SDAD. COOP. MADRILEÑA"
325,"GESTION Y FORMACION EDUCATIVA LAZARILLO-08, S.L."
326,SIERVAS DE SAN JOSE
327,"GRUPO ZOLA EDUCACION, S.L. UNIPERSONAL"
328,DAFNE SDAD. COOP. MADRILEÑA
329,PUNTA GALEA S.A.
330,"LIS, SDAD. COOP. MADRILEÑA"
331,LA CANTOÑA SDAD. COOP. MADRILEÑA LIMITADA
332,"CENTRO EDUCATIVO ZOLA, S.A."
333,"SCIENTIA ALHUCEMA, S.L."
334,HNAS. DE LA PRESENTACION DE LA VIRGEN MARIA
335,FUNDACION PIA AUTONOMA COLEGIO DIOCESANO CRISTO DE LA GUIA
336,"ARCADIA, SDAD. COOP. MADRILEÑA"
337,LICEO ROSALES S.L.
338,PARROQUIA DE STA.ROSALIA
339,"GREDOS-SAN DIEGO, SDAD. COOP. MADRILEÑA"
340,CONGREGACION DE LAS HIJAS DE STA.MARIA DE LEUCA
341,HNOS. DE LA SAGRADA FAMILIA
342,"CEIPS MONCAYO, S.L."
343,ASOCIACION EL DESPERTAR
344,"FORMACION, EDUCACION SAN SATURIO SOCIEDAD COOP.  MADRILEÑA"
345,"COLEGIO LAS ROSAS, S.L."
346,ANGELES SANTIAGO OROZCO
347,ASOCIACION ARAYA (AUTISMO Y TRASTORNOS PROFUNDOS)
348,"COLEGIO VIRGEN DE LA VEGA, S.L."
349,"COLEGIOS Y ORGANIZACION, S.L."
350,MISIONERAS CLARISAS DEL SANTISIMO SACRAMENTO
351,"COLEGIO MADRIGAL, SDAD. COOP. MADRILEÑA"
352,"CENTRO DE INICIATIVAS PARA LA FORMACION AGRARIA,S.A."
353,"LA MILAGROSA 88, S.L."
354,FUNDACION OBRA SOCIAL SOR ROSALIA RENDU
355,FUNDACION RAILES
356,FUNDACION TOMILLO
357,"VALRISCO, S.L.L."
358,"LAGOMAR, SDAD. COOP. MADRILEÑA"
359,MISIONERAS DE MARIA MEDIADORA UNIVERSAL
360,"COLEGIO PERIPATOS, S.L."
361,PARROQUIA DE SAN VICTOR
362,"GREDOS SAN DIEGO, SDAD. COOP. MADRILEÑA"
363,OBRAS PARROQUIALES NUESTRA SEÑORA DE LAS VICTORIAS
364,ORDEN HOSPITALARIA DE SAN JUAN DE DIOS
365,MISIONERAS DE JESUS MARIA Y JOSE
366,"VILLA DE NAVALCARNERO,SDAD.COOP.MAD.DE ENSEÑANZA DETRABAJO"
367,ASOCIACIÓN JARDÍN DE INFANCIA NUESTRA SEÑORA DEL CAMINO
368,FUNDACION DALES LA PALABRA
369,"SERYMAR ARCO IRIS, S.L."
370,PARROQUIA DE SAN SIMON Y SAN JUDAS
371,FUNDACIÓN ESCOLAPIAS MONTAL
372,CONGREGACION DE LA SAGRADA FAMILIA
373,FUNDACIÓN MATER AMABILIS
374,FUNDACIÓN PÍA AUTÓNOMA COLEGIO DIOCESANO CRISTO DE LA GUÍA
375,ASOCIACION PARA LA INVESTIGACION Y ESTUDIO DE LA DEFICIENCIA
376,INSTITUTO DE HH. SANTA MARIANA DE JESUS
377,"LAS ENCINAS DE MATAESPESA, S.L."
378,FUNDACION TERTIO MILENNIO
379,FUNDACION BOBATH
380,ASOCIACION AYUDA ATENCION AL PARALITICO CEREBRAL (ATENPACE)
381,ORDEN MINISTROS DE LOS ENFERMOS (RELIGIOSOS CAMILOS)
382,"SAINT CHARLES COLLEGE, S.L."
383,"COLEGIO INTE.KOLBE, S.L.Y CIA, SOC.EN COMANDITA POR ACCIONES"
384,RELIGIOSAS DE LA ORDEN DE NTRA. SRA. DE LA MERCED
385,SDAD. COOP. MADRILEÑA HELICON
386,"CENTRO CULTURAL PEDRALTA, S.A."
387,"CASVI-BOADILLA, S.A."
388,"COLEGIO BILINGÜE VALLMONT,S.L."
389,FUNDACION INTERNACIONAL DE EDUCACION
390,"ANDEL PROMOCIONES EDUCATIVAS, S.A. UNIPERSONAL"
391,FUNDACION AUCAVI
392,"MALVAR, SDAD. COOP. MADRILEÑA"
393,UNION DE IGLESIAS CRISTIANAS ADVENTISTAS DEL SEPTIMO DIA ESP
394,"EDUCADORAS INFANTILES, S.L."
395,"FORMULA EDUCATIVA, SDAD. COOP. MADRILEÑA"
396,"SERVICIOS EDUCATIVOS SANCHINARRO, S.L.L."
397,"COLEGIO VALDEFUENTES, S.L."
398,FUND. TIEMPOS MAS NUEVOS y CTROS. ENSEÑANZA EDUC. Y VIDA S.A
399,"COLEGIO PEÑALAR, S.L. UNIPERSONAL"
400,AVANTIS SOCIEDAD COOPERATIVA MADRILEÑA
401,"EL CATON, SDAD. COOP. MADRILEÑA"
402,ASOCIACION PARA DISCAPACITADOS VIRGEN DE NURIA-APSURIA
403,INSTITUTO SECULAR CRUZADA EVANGÉLICA
404,"COOPERATIVA DE ENSEÑANZA JOSE RAMON OTERO,SOC COOP MADRILEÑA"
405,SERVICIOS EDUCATIVOS LAS TABLAS S.L. UNIPERSONAL
406,"GREDOS SAN DIEGO, SOCIEDAD COOPERATIVA MADRILEÑA"
407,"EDUCACION ACTIVA COMPLUTENSE, SOCIEDAD COOPERATIVA MADRILEÑA"
408,GREDOS SOCIEDAD COOPERATIVA MADRILEÑA
409,"COLEGIO PEÑALVENTO, S.L."
410,"EDUCANDO EN LA CREATIVIDAD, S.L."
411,"ESCUELA LOS TILOS, S.L."
412,"FOMENTO DE CENTROS DE ENSEÑANZA DE MADRID, S.A."
413,"HELADE, SOCIEDAD COOPERATIVA MADRILEÑA"
414,"GUADIELA, SOCIEDAD COOPERATIVA MADRILEÑA"
415,"ARULA, S. COOP. MAD."
416,"COLEGIO SAN JAIME, S.L."
417,"SOLUCIONES EDUCATIVAS INTEGRALES NTRA. SRA. CONCEPCION, S.A."
418,"ESPACIOS EDUCATIVOS, SOCIEDAD COOPERATIVA MADRILEÑA"
419,"LITTERATOR, SOCIEDAD COOPERATIVA"
420,ASOCIACION DE COOPERACION Y APOYO SOCIAL DE LA INTEGRACION
421,FUNDACION NUMEN
422,ASOCIACION PRO PERSONAS CON DEFICIENCIA MENTAL DE ARGANDA
423,"CENTRO EDUCATIVO ABACO, S.L. (UNIPERSONAL)"
424,"COLEGIO EDITH STEIN, S.L."
425,"COLEGIO VILLAMADRID, SOCIEDAD COOPERATIVA MADRILEÑA"
426,INSTITUTO HISPANOAMERICANO DE LA PALABRA SDAD COOP MADRILEÑA
427,"FUNDACION IRUARITZ LEZAMA y COLEGIO ABANTOS, S.L."
428,"ORDEN DE SAN AGUSTIN,PROVINCIA DEL SANTISIMO NOMBRE DE JESUS"
429,"LAS HACHAZUELAS, SOCIEDAD COOPERATIVA MADRILEÑA"
430,"COLEGIO NOVA HISPALIS, SOCIEDAD COOPERATIVA MADRILEÑA"
431,FUNDACIÓN CISEN (CENTRO DE INTEGRACIÓN SENSORIAL)
432,UTE G.E. ESCUELAS URBANAS - G.E. ESCUELA DE OCIO
433,"NOBELIS, SOCIEDAD COOPERATIVA MADRILEÑA"
434,FUNDACION AENILCE
435,"COLEGIO TORREVILANO, S.L. UNIPERSONAL"
436,"COLEGIO MONTESCLAROS, S.L. UNIPERSONAL"
437,"JUPASE ESCOLAR, S.L. UNIPERSONAL"
438,FUNDACIÓN COLEGIO ALBORADA
439,"COLEGIO ANTAMIRA, S.L."
440,"SOLUCIONES EDUCATIVAS INTEGRALES ARGANDA, S.L."
441,"TRINITY COLLEGE SAN SEBASTIAN DE LOS REYES, S.L."
442,AS.LIBRE EDUC.PERSONALIZADA Y HUMANA TRNOS.ESPECTRO AUTISTA
443,FUNDACION SINDROME DE DOWN DE MADRID
444,FUNDACION UNIVERSITARIA SAN PABLO CEU
445,"COLEGIO ESTUDIANTES LAS TABLAS, S.L."
446,"AQUILA, SOCIEDAD COOPERATIVA MADRILEÑA"
447,"ANTAVILLA SCHOOL, S.L."
448,ASOC. LAS NAVES-CENTRO DE FORM. Y ATENCIÓN SOCIOEDUCATIVA
449,HERMANAS DE LA CARIDAD E INSTRUCCION CRISTIANA DE NEVERS
450,"ESCUELA PARA EL FUTURO, S.A."
451,PROY. ED. SIERRA NORTE S.A./ HUMANITAS BILINGUAL SCHOOL S.L.
452,"COLEGIO VEGASUR, SOCIEDAD COOPERATIVA MADRILEÑA"
453,"COLEGIO CHESTERTON MECO, S.L."
454,FUNDACIÓN ARENALES
455,"PROY.EDUC.SOTO HENARES,S.A., HUMANITAS BIL.SCH.TORREJON, S.L"
456,FUNDACIÓN DIDASKALOS
457,FUNDACION APRENDER
458,"COLEGIO PASTEUR ARROYOMOLINOS, S.L. UNIPERSONAL"
459,"EDUCAHUMANES, S.A."
460,"ANTANES SCHOOL, S.L."
461,"CENTRO DE ESTUDIOS SUPERIORES FUENCARRAL, S.L."
462,FUNDACION CENTRO ESPAÑOL DE SOLIDARIDAD
463,"HM HOSPITALES 1989, S.A."
464,"COLEGIO JUAN PABLO II PARLA,  S.L."
465,FUNDACIÓN TERTIO MILLENNIO
466,ASOCIACION CULTURAL NORTE JOVEN
467,COLEGIOS MINERVA S.L.
468,"LICEO EUROPEO, S.L."
469,INSTITUTO  BIENAVENTURADA VIRGEN MARIA
470,ASOCIACION DEL COLEGIO SUIZO DE MADRID
471,"COLEGIO VIRGEN DEL PUERTO, S.L."
