id_direccion_codigo_postal,direccion_codigo_postal
1,28864.0
2,28607.0
3,28806.0
4,28801.0
5,28800.0
6,28807.0
7,28803.0
8,28804.0
9,28805.0
10,28802.0
11,28100.0
12,28108.0
13,28109.0
14,28050.0
15,
16,28922.0
17,28923.0
18,28924.0
19,28925.0
20,28921.0
21,28620.0
22,28110.0
23,28120.0
24,28439.0
25,28430.0
26,28300.0
27,28760.0
28,28790.0
29,28500.0
30,28939.0
31,28490.0
32,28390.0
33,28660.0
34,28668.0
35,28669.0
36,28260.0
37,28413.0
38,28492.0
39,28412.0
40,28411.0
41,28690.0
42,28730.0
43,28720.0
44,28751.0
45,28640.0
46,28816.0
47,28510.0
48,28977.0
49,28978.0
50,28650.0
51,28470.0
52,28350.0
53,28863.0
54,28380.0
55,28270.0
56,28770.0
57,28450.0
58,28459.0
59,28400.0
60,28409.0
61,28821.0
62,28823.0
63,28822.0
64,28370.0
65,28814.0
66,28280.0
67,28292.0
68,28595.0
69,28944.0
70,28942.0
71,28943.0
72,28941.0
73,28945.0
74,28946.0
75,28140.0
76,28597.0
77,28420.0
78,28250.0
79,28904.0
80,28903.0
81,28901.0
82,28907.0
83,28902.0
84,28905.0
85,28909.0
86,28906.0
87,28900.0
88,28971.0
89,28794.0
90,28440.0
91,28240.0
92,28970.0
93,28940.0
94,28913.0
95,28911.0
96,28917.0
97,28915.0
98,28914.0
99,28918.0
100,28916.0
101,28919.0
102,28912.0
103,28819.0
104,28890.0
105,28012.0
106,28021.0
107,28008.0
108,28016.0
109,28041.0
110,28034.0
111,28009.0
112,28038.0
113,28022.0
114,28032.0
115,28044.0
116,28003.0
117,28011.0
118,28039.0
119,28025.0
120,28027.0
121,28005.0
122,28031.0
123,28007.0
124,28053.0
125,28006.0
126,28024.0
127,28017.0
128,28047.0
129,28054.0
130,28002.0
131,28018.0
132,28026.0
133,28029.0
134,28033.0
135,28045.0
136,28030.0
137,28019.0
138,28010.0
139,28014.0
140,28028.0
141,28023.0
142,28037.0
143,28015.0
144,28004.0
145,28035.0
146,28013.0
147,28040.0
148,28042.0
149,28049.0
150,28043.0
151,28001.0
152,28020.0
153,28048.0
154,28046.0
155,28036.0
156,28051.0
157,28055.0
158,28052.0
159,28220.0
160,28221.0
161,28222.0
162,28410.0
163,28880.0
164,28840.0
165,28792.0
166,28710.0
167,28460.0
168,28950.0
169,28530.0
170,28931.0
171,28933.0
172,28936.0
173,28935.0
174,28932.0
175,28938.0
176,28934.0
177,28937.0
178,28491.0
179,28600.0
180,28695.0
181,28514.0
182,28860.0
183,28981.0
184,28982.0
185,28983.0
186,28989.0
187,28540.0
188,28320.0
189,28223.0
190,28224.0
191,28740.0
192,28521.0
193,28523.0
194,28522.0
195,28529.0
196,28294.0
197,28290.0
198,28231.0
199,28232.0
200,28750.0
201,28830.0
202,28200.0
203,28330.0
204,28339.0
205,28680.0
206,28701.0
207,28703.0
208,28702.0
209,28700.0
210,28708.0
211,28707.0
212,28609.0
213,28791.0
214,28550.0
215,28359.0
216,28850.0
217,28991.0
218,28990.0
219,28180.0
220,28813.0
221,28210.0
222,28343.0
223,28342.0
224,28341.0
225,28340.0
226,28241.0
227,28130.0
228,28150.0
229,28511.0
230,28891.0
231,28360.0
232,28630.0
233,28810.0
234,28610.0
235,28691.0
236,28692.0
237,28229.0
238,28590.0
239,28670.0
240,28742.0
241,28570.0
242,28189.0
243,28752.0
244,28818.0
245,28594.0
246,28293.0
247,28815.0
248,28649.0
249,28729.0
250,28512.0
251,28694.0
252,28160.0
253,28723.0
254,28979.0
255,28214.0
256,28212.0
257,28693.0
258,28696.0
259,28817.0
260,28560.0
261,28721.0
262,28213.0
263,28976.0
264,28722.0
265,28190.0
266,28598.0
267,28739.0
268,28192.0
269,28596.0
270,28391.0
271,28170.0
272,28193.0
273,28295.0
274,28812.0
275,28515.0
276,28811.0
277,28580.0
278,28296.0
279,28194.0
